Detailed Keypoint and Movement Statistics
=====================================

Note: Movement values are in pixels for 2D models and normalized coordinates for 3D models

Model        |  Knee | Min Conf |  Miss % | Out # |  Out % | Max Dev | Avg Mov
------------ | ----- | -------- | ------- | ----- | ------ | ------- | -------
MEDIAPIPE 2D |  left |      nan |  100.0% |     0 |   0.0% |     0.0 |     nan
MEDIAPIPE 2D | right |    0.894 |    0.0% |     0 |   0.0% |     0.0 |     nan
MEDIAPIPE 3D |  left |      nan |  100.0% |     0 |   0.0% |     0.0 |     nan
MEDIAPIPE 3D | right |    0.308 |    5.7% |     0 |   0.0% |     0.0 |    0.01
MMPOSE 2D    |  left |      nan |  100.0% |     0 |   0.0% |     0.0 |     nan
MMPOSE 2D    | right |    0.614 |    0.0% |     0 |   0.0% |     0.0 |     nan
MMPOSE 3D    |  left |      nan |  100.0% |     0 |   0.0% |     0.0 |     nan
MMPOSE 3D    | right |    0.612 |    0.0% |     0 |   0.0% |     0.0 |     nan
