model,side,mean,std,min,max,range
MEDIAPIPE 2D,left,122.61,23.35,82.11,180.0,97.89
MEDIAPIPE 2D,right,124.16,23.9,82.96,180.0,97.04
MEDIAPIPE 3D,left,134.75,20.88,96.96,160.83,63.86
MEDIAPIPE 3D,right,133.76,23.72,91.3,166.38,75.08
MMPOSE 2D,left,127.84,24.01,80.57,180.0,99.43
MMPOSE 2D,right,125.97,23.67,82.22,180.0,97.78
MMPOSE 3D,left,168.79,9.79,147.5,180.0,32.5
MMPOSE 3D,right,166.96,11.6,142.36,180.0,37.64
