frame,timeframe,frame_processing_time_ms,left_hip_x,left_hip_y,left_hip_z,left_hip_conf,left_knee_x,left_knee_y,left_knee_z,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_conf,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_conf,left_foot_direction,left_knee_angle,left_knee_incorrect,right_hip_x,right_hip_y,right_hip_z,right_hip_conf,right_knee_x,right_knee_y,right_knee_z,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_conf,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_conf,right_foot_direction,right_knee_angle,right_knee_incorrect
0,0.0,488.62481117248535,,,,,,,,,,,,,,,,,,,,493.125,983.4375,0,0.7717891,465.0,1180.3125,0,0.90428114,441.5625,1386.5625,0,0.9665116,422.8125,1452.1875,0,0.81523687,forward,178.35301143405678,1
1,0.03336666666666667,280.33924102783203,,,,,,,,,,,,,,,,,,,,497.8125,978.75,0,0.7654451,465.0,1180.3125,0,0.8923282,441.5625,1386.5625,0,0.95604646,422.8125,1456.875,0,0.80996996,forward,177.23699539520578,1
2,0.06673333333333334,257.69615173339844,,,,,,,,,,,,,,,,,,,,502.5,978.75,0,0.7775363,469.6875,1180.3125,0,0.8979406,441.5625,1386.5625,0,0.9541153,422.8125,1456.875,0,0.81134146,forward,178.5190553230278,1
3,0.10010000000000001,290.6382083892822,,,,,,,,,,,,,,,,,,,,502.5,978.75,0,0.7761596,469.6875,1185.0,0,0.888633,441.5625,1386.5625,0,0.95288765,422.8125,1456.875,0,0.8097573,forward,178.90389163341587,1
4,0.13346666666666668,269.0081596374512,,,,,,,,,,,,,,,,,,,,507.1875,978.75,0,0.78037834,469.6875,1185.0,0,0.89500093,441.5625,1386.5625,0,0.9483007,422.8125,1456.875,0,0.81202793,forward,177.63867976899908,1
5,0.16683333333333333,302.59084701538086,,,,,,,,,,,,,,,,,,,,507.1875,978.75,0,0.7865117,469.6875,1185.0,0,0.8974471,441.5625,1386.5625,0,0.95007014,427.5,1456.875,0,0.8127342,forward,177.63867976899908,1
6,0.20020000000000002,283.8881015777588,,,,,,,,,,,,,,,,,,,,507.1875,978.75,0,0.78504145,469.6875,1185.0,0,0.8968455,441.5625,1386.5625,0,0.945677,427.5,1456.875,0,0.8119586,forward,177.63867976899908,1
7,0.23356666666666667,270.42102813720703,,,,,,,,,,,,,,,,,,,,507.1875,978.75,0,0.7829554,469.6875,1185.0,0,0.8980303,441.5625,1386.5625,0,0.94576156,427.5,1456.875,0,0.81189775,forward,177.63867976899908,1
8,0.26693333333333336,252.36797332763672,,,,,,,,,,,,,,,,,,,,507.1875,978.75,0,0.7852069,469.6875,1180.3125,0,0.9021108,441.5625,1381.875,0,0.9433129,427.5,1456.875,0,0.8093082,forward,177.40436808831774,1
9,0.3003,254.75215911865234,,,,,,,,,,,,,,,,,,,,507.1875,978.75,0,0.78267884,469.6875,1180.3125,0,0.90132165,441.5625,1381.875,0,0.9495877,427.5,1452.1875,0,0.81421316,forward,177.40436808831774,1
10,0.33366666666666667,254.533052444458,,,,,,,,,,,,,,,,,,,,507.1875,978.75,0,0.78418064,469.6875,1185.0,0,0.89681077,441.5625,1386.5625,0,0.9509666,427.5,1456.875,0,0.819167,forward,177.63867976899908,1
11,0.3670333333333333,253.20100784301758,,,,,,,,,,,,,,,,,,,,502.5,978.75,0,0.7833455,469.6875,1185.0,0,0.8966295,441.5625,1386.5625,0,0.93844426,427.5,1456.875,0,0.81099474,forward,178.90389163341587,1
12,0.40040000000000003,253.33189964294434,,,,,,,,,,,,,,,,,,,,502.5,978.75,0,0.7765919,465.0,1185.0,0,0.89280915,436.875,1386.5625,0,0.93875825,427.5,1456.875,0,0.80988944,forward,177.63867976899908,1
13,0.4337666666666667,253.3857822418213,,,,,,,,,,,,,,,,,,,,497.8125,978.75,0,0.7796587,465.0,1185.0,0,0.893679,436.875,1386.5625,0,0.9391352,427.5,1456.875,0,0.8112112,forward,178.90389163341587,1
14,0.46713333333333334,256.9692134857178,,,,,,,,,,,,,,,,,,,,493.125,978.75,0,0.7765497,460.3125,1185.0,0,0.88868713,436.875,1386.5625,0,0.9442356,427.5,1456.875,0,0.8106723,forward,177.59303476428198,1
15,0.5005000000000001,255.62810897827148,,,,,,,,,,,,,,,,,,,,488.4375,978.75,0,0.7698165,460.3125,1185.0,0,0.89633536,436.875,1386.5625,0,0.957507,427.5,1456.875,0,0.8142464,forward,178.86736695462048,1
16,0.5338666666666667,255.86700439453125,,,,,,,,,,,,,,,,,,,,483.75,983.4375,0,0.77203107,455.625,1185.0,0,0.8884803,436.875,1386.5625,0,0.9540194,432.1875,1456.875,0,0.80891967,forward,177.3711734240262,1
17,0.5672333333333334,255.67626953125,,,,,,,,,,,,,,,,,,,,479.0625,988.125,0,0.7839167,455.625,1189.6875,0,0.8854568,436.875,1386.5625,0,0.9520118,427.5,1456.875,0,0.809434,forward,178.80810272844113,1
18,0.6006,255.37800788879395,,,,,,,,,,,,,,,,,,,,474.375,988.125,0,0.7897677,450.9375,1189.6875,0,0.87896025,436.875,1386.5625,0,0.953563,427.5,1456.875,0,0.81368303,forward,177.45316447198348,1
19,0.6339666666666667,256.90770149230957,,,,,,,,,,,,,,,,,,,,469.6875,988.125,0,0.7963717,446.25,1189.6875,0,0.87825775,436.875,1386.5625,0,0.95613,427.5,1456.875,0,0.8161234,forward,176.09384671516207,1
20,0.6673333333333333,253.14974784851074,,,,,,,,,,,,,,,,,,,,465.0,988.125,0,0.7998356,441.5625,1194.375,0,0.8855307,436.875,1386.5625,0,0.95301855,427.5,1456.875,0,0.8110602,forward,174.91407635760282,1
21,0.7007,256.2277317047119,,,,,,,,,,,,,,,,,,,,465.0,992.8125,0,0.7943795,441.5625,1189.6875,0,0.87427187,436.875,1386.5625,0,0.9517842,427.5,1456.875,0,0.813463,forward,174.57494158455404,1
22,0.7340666666666666,255.75804710388184,,,,,,,,,,,,,,,,,,,,460.3125,992.8125,0,0.7942276,436.875,1189.6875,0,0.86024034,436.875,1386.5625,0,0.95064723,427.5,1456.875,0,0.81173277,forward,173.21103231175366,1
23,0.7674333333333333,256.5741539001465,,,,,,,,,,,,,,,,,,,,460.3125,992.8125,0,0.79156196,436.875,1194.375,0,0.8598567,436.875,1386.5625,0,0.9505524,427.5,1456.875,0,0.814934,forward,173.3675009461149,1
24,0.8008000000000001,256.32262229919434,,,,,,,,,,,,,,,,,,,,460.3125,992.8125,0,0.7917486,436.875,1189.6875,0,0.86180556,436.875,1386.5625,0,0.95075417,427.5,1456.875,0,0.81270903,forward,173.21103231175366,1
25,0.8341666666666667,257.05981254577637,,,,,,,,,,,,,,,,,,,,460.3125,988.125,0,0.7925575,436.875,1189.6875,0,0.8645638,436.875,1386.5625,0,0.950277,427.5,1456.875,0,0.8103553,forward,173.36753051394837,1
26,0.8675333333333334,255.1412582397461,,,,,,,,,,,,,,,,,,,,460.3125,988.125,0,0.78673995,441.5625,1189.6875,0,0.86808896,436.875,1386.5625,0,0.9495489,427.5,1456.875,0,0.81113076,forward,176.0493819061519,1
27,0.9009,254.7469139099121,,,,,,,,,,,,,,,,,,,,460.3125,992.8125,0,0.78298324,441.5625,1189.6875,0,0.86685836,436.875,1386.5625,0,0.95295435,427.5,1456.875,0,0.810585,forward,175.92359396038805,1
28,0.9342666666666667,255.68795204162598,,,,,,,,,,,,,,,,,,,,460.3125,992.8125,0,0.7879172,441.5625,1194.375,0,0.868731,436.875,1386.5625,0,0.95121837,427.5,1456.875,0,0.8147909,forward,176.0826832699825,1
29,0.9676333333333333,253.89719009399414,,,,,,,,,,,,,,,,,,,,465.0,997.5,0,0.785747,441.5625,1194.375,0,0.871965,436.875,1386.5625,0,0.9520106,427.5,1456.875,0,0.81864667,forward,174.60820311121648,1
30,1.0010000000000001,254.8959255218506,,,,,,,,,,,,,,,,,,,,465.0,992.8125,0,0.7891234,441.5625,1194.375,0,0.8772876,436.875,1386.5625,0,0.95576423,427.5,1456.875,0,0.81817937,forward,174.76467472626686,1
31,1.0343666666666667,254.94718551635742,,,,,,,,,,,,,,,,,,,,469.6875,992.8125,0,0.7820788,446.25,1189.6875,0,0.87927324,436.875,1386.5625,0,0.959003,427.5,1456.875,0,0.8185649,forward,175.93735695518728,1
32,1.0677333333333334,254.55069541931152,,,,,,,,,,,,,,,,,,,,469.6875,992.8125,0,0.7801956,446.25,1189.6875,0,0.87438506,436.875,1386.5625,0,0.9615227,427.5,1456.875,0,0.81853604,forward,175.93735695518728,1
33,1.1011,254.51111793518066,,,,,,,,,,,,,,,,,,,,474.375,992.8125,0,0.78098214,450.9375,1194.375,0,0.873977,436.875,1386.5625,0,0.958341,427.5,1456.875,0,0.8199254,forward,177.55247368349814,1
34,1.1344666666666667,255.07020950317383,,,,,,,,,,,,,,,,,,,,474.375,992.8125,0,0.7780802,450.9375,1189.6875,0,0.87980545,436.875,1386.5625,0,0.95846283,427.5,1456.875,0,0.81854856,forward,177.2966532407651,1
35,1.1678333333333333,253.70478630065918,,,,,,,,,,,,,,,,,,,,479.0625,988.125,0,0.7809187,455.625,1189.6875,0,0.8888476,436.875,1386.5625,0,0.9598879,427.5,1456.875,0,0.82047033,forward,178.80810272844113,1
36,1.2012,255.80072402954102,,,,,,,,,,,,,,,,,,,,479.0625,988.125,0,0.78093916,455.625,1189.6875,0,0.89077854,436.875,1386.5625,0,0.9620543,427.5,1456.875,0,0.8212391,forward,178.80810272844113,1
37,1.2345666666666666,254.87995147705078,,,,,,,,,,,,,,,,,,,,479.0625,988.125,0,0.7800617,455.625,1189.6875,0,0.89312744,436.875,1386.5625,0,0.96245503,427.5,1456.875,0,0.81906754,forward,178.80810272844113,1
38,1.2679333333333334,255.62524795532227,,,,,,,,,,,,,,,,,,,,479.0625,988.125,0,0.7758937,455.625,1189.6875,0,0.8912577,436.875,1386.5625,0,0.95950925,427.5,1456.875,0,0.8136797,forward,178.80810272844113,1
39,1.3013000000000001,254.92024421691895,,,,,,,,,,,,,,,,,,,,479.0625,988.125,0,0.77633524,455.625,1189.6875,0,0.89257264,436.875,1386.5625,0,0.9595931,427.5,1456.875,0,0.815971,forward,178.80810272844113,1
40,1.3346666666666667,254.7910213470459,,,,,,,,,,,,,,,,,,,,483.75,988.125,0,0.77637637,455.625,1189.6875,0,0.8910237,436.875,1386.5625,0,0.9560663,427.5,1456.875,0,0.8121095,forward,177.4968852578669,1
41,1.3680333333333334,254.03809547424316,,,,,,,,,,,,,,,,,,,,479.0625,988.125,0,0.7753644,455.625,1189.6875,0,0.8909013,436.875,1386.5625,0,0.959746,427.5,1456.875,0,0.8158101,forward,178.80810272844113,1
42,1.4014,254.64582443237305,,,,,,,,,,,,,,,,,,,,479.0625,988.125,0,0.77976686,455.625,1189.6875,0,0.89047074,436.875,1386.5625,0,0.9605694,427.5,1456.875,0,0.82300866,forward,178.80810272844113,1
43,1.4347666666666667,254.03118133544922,,,,,,,,,,,,,,,,,,,,483.75,988.125,0,0.7744218,455.625,1189.6875,0,0.88863206,436.875,1386.5625,0,0.96114236,427.5,1456.875,0,0.8250473,forward,177.4968852578669,1
44,1.4681333333333333,254.90283966064453,,,,,,,,,,,,,,,,,,,,483.75,988.125,0,0.7729944,455.625,1185.0,0,0.88928676,436.875,1386.5625,0,0.95854604,427.5,1456.875,0,0.82059884,forward,177.18450125437545,1
45,1.5015,254.21500205993652,,,,,,,,,,,,,,,,,,,,483.75,988.125,0,0.7749791,455.625,1185.0,0,0.89226973,436.875,1386.5625,0,0.95722497,427.5,1456.875,0,0.819963,forward,177.18450125437545,1
46,1.5348666666666666,255.1281452178955,,,,,,,,,,,,,,,,,,,,483.75,988.125,0,0.77767086,455.625,1185.0,0,0.8874229,436.875,1386.5625,0,0.9525493,427.5,1456.875,0,0.8174021,forward,177.18450125437545,1
47,1.5682333333333334,253.6032199859619,,,,,,,,,,,,,,,,,,,,483.75,988.125,0,0.77909863,455.625,1189.6875,0,0.8886235,436.875,1386.5625,0,0.94931096,427.5,1456.875,0,0.8137512,forward,177.4968852578669,1
48,1.6016000000000001,255.50103187561035,,,,,,,,,,,,,,,,,,,,483.75,988.125,0,0.7755834,460.3125,1185.0,0,0.8922808,436.875,1386.5625,0,0.94918,427.5,1456.875,0,0.8102648,forward,179.84423364377204,1
49,1.6349666666666667,254.78601455688477,,,,,,,,,,,,,,,,,,,,479.0625,992.8125,0,0.7715224,460.3125,1189.6875,0,0.8861834,436.875,1386.5625,0,0.9497087,427.5,1456.875,0,0.8018321,forward,178.65128319460092,0
