frame,timeframe,frame_processing_time_ms,left_hip_x,left_hip_y,left_hip_z,left_hip_conf,left_knee_x,left_knee_y,left_knee_z,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_conf,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_conf,left_foot_direction,left_knee_angle,left_knee_incorrect,right_hip_x,right_hip_y,right_hip_z,right_hip_conf,right_knee_x,right_knee_y,right_knee_z,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_conf,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_conf,right_foot_direction,right_knee_angle,right_knee_incorrect
0,0.0,449.2371082305908,596.25,978.75,0,0.7790651,615.0,1180.3125,0,0.8780984,629.0625,1386.5625,0,0.9672386,675.9375,1442.8125,0,0.784287,forward,178.5861148081372,1,493.125,983.4375,0,0.7717891,465.0,1180.3125,0,0.90428114,441.5625,1386.5625,0,0.9665116,422.8125,1452.1875,0,0.81523687,forward,178.35301143405678,1
1,0.03336666666666667,258.10813903808594,600.9375,978.75,0,0.78267395,619.6875,1180.3125,0,0.8670981,629.0625,1386.5625,0,0.9566339,675.9375,1442.8125,0,0.7758785,forward,177.2880504024963,1,497.8125,978.75,0,0.7654451,465.0,1180.3125,0,0.8923282,441.5625,1386.5625,0,0.95604646,422.8125,1456.875,0,0.80996996,forward,177.23699539520578,1
2,0.06673333333333334,267.197847366333,605.625,974.0625,0,0.790584,619.6875,1175.625,0,0.8661256,629.0625,1386.5625,0,0.95394987,675.9375,1442.8125,0,0.7764517,forward,178.55381971889466,1,502.5,978.75,0,0.7775363,469.6875,1180.3125,0,0.8979406,441.5625,1386.5625,0,0.9541153,422.8125,1456.875,0,0.81134146,forward,178.5190553230278,1
3,0.10010000000000001,291.7141914367676,605.625,978.75,0,0.78757626,624.375,1180.3125,0,0.868732,629.0625,1386.5625,0,0.9556204,675.9375,1442.8125,0,0.77724946,forward,175.98745985022782,1,502.5,978.75,0,0.7761596,469.6875,1185.0,0,0.888633,441.5625,1386.5625,0,0.95288765,422.8125,1456.875,0,0.8097573,forward,178.90389163341587,1
4,0.13346666666666668,265.5339241027832,610.3125,978.75,0,0.7914149,629.0625,1180.3125,0,0.8661877,629.0625,1386.5625,0,0.95327896,675.9375,1442.8125,0,0.7793155,forward,174.6854774789683,1,507.1875,978.75,0,0.78037834,469.6875,1185.0,0,0.89500093,441.5625,1386.5625,0,0.9483007,422.8125,1456.875,0,0.81202793,forward,177.63867976899908,1
5,0.16683333333333333,257.08699226379395,610.3125,978.75,0,0.79593325,629.0625,1185.0,0,0.869053,629.0625,1386.5625,0,0.9548024,675.9375,1442.8125,0,0.7845785,forward,174.8055545765018,1,507.1875,978.75,0,0.7865117,469.6875,1185.0,0,0.8974471,441.5625,1386.5625,0,0.95007014,427.5,1456.875,0,0.8127342,forward,177.63867976899908,1
6,0.20020000000000002,257.08508491516113,610.3125,983.4375,0,0.7908343,629.0625,1180.3125,0,0.8638585,629.0625,1386.5625,0,0.9567199,675.9375,1442.8125,0,0.7843256,forward,174.5596834316142,1,507.1875,978.75,0,0.78504145,469.6875,1185.0,0,0.8968455,441.5625,1386.5625,0,0.945677,427.5,1456.875,0,0.8119586,forward,177.63867976899908,1
7,0.23356666666666667,266.62397384643555,610.3125,983.4375,0,0.78882277,629.0625,1180.3125,0,0.86237663,629.0625,1386.5625,0,0.9561566,675.9375,1442.8125,0,0.7839078,forward,174.5596834316142,1,507.1875,978.75,0,0.7829554,469.6875,1185.0,0,0.8980303,441.5625,1386.5625,0,0.94576156,427.5,1456.875,0,0.81189775,forward,177.63867976899908,1
8,0.26693333333333336,262.61401176452637,610.3125,978.75,0,0.79215837,629.0625,1180.3125,0,0.865679,629.0625,1386.5625,0,0.9539134,675.9375,1442.8125,0,0.78364384,forward,174.6854774789683,1,507.1875,978.75,0,0.7852069,469.6875,1180.3125,0,0.9021108,441.5625,1381.875,0,0.9433129,427.5,1456.875,0,0.8093082,forward,177.40436808831774,1
9,0.3003,264.6489143371582,610.3125,978.75,0,0.7915864,629.0625,1180.3125,0,0.8616597,629.0625,1386.5625,0,0.9550164,675.9375,1442.8125,0,0.78540003,forward,174.6854774789683,1,507.1875,978.75,0,0.78267884,469.6875,1180.3125,0,0.90132165,441.5625,1381.875,0,0.9495877,427.5,1452.1875,0,0.81421316,forward,177.40436808831774,1
