frame,timeframe,frame_processing_time_ms,left_hip_x,left_hip_y,left_hip_z,left_hip_conf,left_knee_x,left_knee_y,left_knee_z,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_conf,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_conf,left_foot_direction,left_knee_angle,left_knee_incorrect,right_hip_x,right_hip_y,right_hip_z,right_hip_conf,right_knee_x,right_knee_y,right_knee_z,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_conf,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_conf,right_foot_direction,right_knee_angle,right_knee_incorrect
0,0.0,384.7999572753906,591.5625,983.4375,0,0.97300065,615.0,1189.6875,0,1.0125948,629.0625,1386.5625,0,1.0334435,647.8125,1442.8125,0,0.90077853,forward,180.0,1,493.125,988.125,0,0.97905743,465.0,1189.6875,0,1.0197678,441.5625,1386.5625,0,1.0285261,427.5,1447.5,0,0.9000417,forward,180.0,1
1,0.03336666666666667,204.26201820373535,596.25,983.4375,0,0.97475207,619.6875,1189.6875,0,1.0067947,629.0625,1386.5625,0,1.0328951,647.8125,1442.8125,0,0.9179548,forward,180.0,1,497.8125,988.125,0,0.9790136,465.0,1189.6875,0,1.0209928,441.5625,1386.5625,0,1.0296278,427.5,1447.5,0,0.9019022,forward,180.0,1
2,0.06673333333333334,202.070951461792,600.9375,983.4375,0,0.9859333,619.6875,1185.0,0,1.0145986,629.0625,1386.5625,0,1.0362155,647.8125,1438.125,0,0.92351645,forward,167.76125009024443,1,502.5,983.4375,0,0.9885124,469.6875,1189.6875,0,1.0286505,441.5625,1386.5625,0,1.0316072,427.5,1447.5,0,0.9150697,forward,180.0,1
3,0.10010000000000001,189.2068386077881,605.625,983.4375,0,0.9961097,624.375,1189.6875,0,1.0252427,629.0625,1386.5625,0,1.0427223,647.8125,1438.125,0,0.9289009,forward,167.61919811950452,1,507.1875,988.125,0,0.9988396,469.6875,1189.6875,0,1.0364504,441.5625,1381.875,0,1.037998,427.5,1447.5,0,0.93003166,forward,155.2333371532856,1
4,0.13346666666666668,217.95010566711426,605.625,983.4375,0,0.9904593,629.0625,1189.6875,0,1.0227354,629.0625,1381.875,0,1.0443646,647.8125,1438.125,0,0.9138777,forward,162.45649531162124,1,511.875,983.4375,0,0.992033,469.6875,1189.6875,0,1.0376698,441.5625,1381.875,0,1.0365376,427.5,1447.5,0,0.9197134,forward,167.47208706304116,1
5,0.16683333333333333,190.40703773498535,610.3125,983.4375,0,0.9938233,629.0625,1189.6875,0,1.0245183,633.75,1386.5625,0,1.0469508,647.8125,1442.8125,0,0.9329534,forward,167.61919811950452,1,511.875,983.4375,0,0.99662125,469.6875,1189.6875,0,1.0428759,441.5625,1381.875,0,1.0379105,427.5,1447.5,0,0.9242387,forward,167.47208706304116,1
6,0.20020000000000002,189.56804275512695,610.3125,983.4375,0,0.98565674,629.0625,1189.6875,0,1.0135438,633.75,1386.5625,0,1.0416518,647.8125,1442.8125,0,0.93262017,forward,167.61919811950452,1,511.875,988.125,0,0.9859923,469.6875,1189.6875,0,1.0338905,441.5625,1381.875,0,1.0278924,427.5,1447.5,0,0.91645247,forward,155.2333371532856,1
7,0.23356666666666667,193.20321083068848,610.3125,983.4375,0,0.979959,629.0625,1189.6875,0,1.0081224,629.0625,1386.5625,0,1.0380402,647.8125,1442.8125,0,0.92934406,forward,167.61919811950452,1,511.875,988.125,0,0.98038715,469.6875,1189.6875,0,1.0285016,441.5625,1381.875,0,1.0247658,427.5,1447.5,0,0.91196644,forward,155.2333371532856,1
8,0.26693333333333336,191.00308418273926,610.3125,983.4375,0,0.98132217,629.0625,1189.6875,0,1.0092069,629.0625,1381.875,0,1.043664,647.8125,1438.125,0,0.9177526,forward,162.45649531162124,1,511.875,983.4375,0,0.9814865,469.6875,1185.0,0,1.0314612,441.5625,1381.875,0,1.0267304,427.5,1447.5,0,0.8982897,forward,167.76125009024443,1
9,0.3003,198.48322868347168,610.3125,988.125,0,0.9851185,629.0625,1189.6875,0,1.0065174,633.75,1386.5625,0,1.0372934,647.8125,1442.8125,0,0.9378804,forward,155.38044820974895,1,511.875,988.125,0,0.9862462,465.0,1189.6875,0,1.0284092,441.5625,1381.875,0,1.0271804,427.5,1447.5,0,0.91908365,forward,155.2333371532856,1
10,0.33366666666666667,192.12794303894043,610.3125,988.125,0,0.9897443,629.0625,1189.6875,0,1.0157574,629.0625,1386.5625,0,1.0441449,647.8125,1442.8125,0,0.9462341,forward,155.38044820974895,1,511.875,988.125,0,0.99092585,465.0,1189.6875,0,1.0361879,441.5625,1386.5625,0,1.0356573,427.5,1447.5,0,0.9261044,forward,167.76125009024443,1
11,0.3670333333333333,192.9481029510498,605.625,988.125,0,0.9922924,629.0625,1189.6875,0,1.0160831,629.0625,1386.5625,0,1.0449457,647.8125,1442.8125,0,0.94510424,forward,155.38044820974895,1,507.1875,988.125,0,0.99527025,465.0,1189.6875,0,1.0334669,441.5625,1386.5625,0,1.0363292,427.5,1452.1875,0,0.9276153,forward,167.76125009024443,1
12,0.40040000000000003,192.55495071411133,600.9375,988.125,0,0.9952543,624.375,1189.6875,0,1.0292678,629.0625,1386.5625,0,1.0480193,647.8125,1442.8125,0,0.9363157,forward,155.38044820974895,1,502.5,988.125,0,0.9993191,465.0,1189.6875,0,1.0435649,441.5625,1386.5625,0,1.040447,427.5,1447.5,0,0.92775106,forward,167.76125009024443,1
13,0.4337666666666667,194.1068172454834,600.9375,988.125,0,1.0037984,619.6875,1189.6875,0,1.0268717,629.0625,1386.5625,0,1.0499375,647.8125,1442.8125,0,0.94624746,forward,155.38044820974895,1,502.5,988.125,0,1.0077728,465.0,1189.6875,0,1.0428102,441.5625,1386.5625,0,1.0428456,432.1875,1452.1875,0,0.9455521,forward,167.76125009024443,1
14,0.46713333333333334,211.42101287841797,596.25,983.4375,0,0.9947581,619.6875,1189.6875,0,1.0243683,629.0625,1386.5625,0,1.0491921,647.8125,1442.8125,0,0.9451149,forward,167.61919811950452,1,497.8125,988.125,0,0.9980875,460.3125,1189.6875,0,1.0371215,441.5625,1386.5625,0,1.0408323,427.5,1452.1875,0,0.9401075,forward,167.76125009024443,1
