frame,timeframe,frame_processing_time_ms,left_hip_x,left_hip_y,left_hip_z,left_hip_conf,left_knee_x,left_knee_y,left_knee_z,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_conf,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_conf,left_foot_direction,left_knee_angle,left_knee_incorrect,right_hip_x,right_hip_y,right_hip_z,right_hip_conf,right_knee_x,right_knee_y,right_knee_z,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_conf,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_conf,right_foot_direction,right_knee_angle,right_knee_incorrect
0,0.0,168.99466514587402,,,,,,,,,,,,,,,,,,,,0.45517075061798096,0.5246443748474121,-0.000252119789365679,0.9996762275695801,0.42964738607406616,0.625873327255249,-0.03882230445742607,0.978010356426239,0.41201072931289673,0.7181628346443176,0.19726939499378204,0.976982593536377,0.40262359380722046,0.7515448927879333,-0.021028170362114906,0.9651973247528076,forward,180.0,1
1,0.03336666666666667,79.25987243652344,,,,,,,,,,,,,,,,,,,,0.45501819252967834,0.5243512392044067,-0.0007223811699077487,0.999673068523407,0.42965298891067505,0.6257141828536987,-0.04028857871890068,0.9790992736816406,0.41208577156066895,0.718154788017273,0.170702263712883,0.9779486060142517,0.4020099639892578,0.751430869102478,-0.04591164365410805,0.9664583206176758,forward,180.0,1
2,0.06673333333333334,70.99127769470215,,,,,,,,,,,,,,,,,,,,0.45462313294410706,0.5243164300918579,-0.001185030210763216,0.9996705651283264,0.4296380579471588,0.6256453394889832,-0.04027511179447174,0.9801505208015442,0.4120962619781494,0.7181351184844971,0.17259536683559418,0.978893518447876,0.4010380506515503,0.7513229250907898,-0.044258203357458115,0.9676839113235474,forward,178.51519889597398,1
3,0.10010000000000001,61.83886528015137,,,,,,,,,,,,,,,,,,,,0.4541884958744049,0.5241519212722778,-0.0037125516682863235,0.9996699690818787,0.4295332431793213,0.6256242990493774,-0.04288801550865173,0.9811105132102966,0.41205736994743347,0.7181333303451538,0.1646605134010315,0.9797746539115906,0.4005343019962311,0.7513247728347778,-0.053277499973773956,0.968841552734375,forward,180.0,1
4,0.13346666666666668,52.201032638549805,,,,,,,,,,,,,,,,,,,,0.4536689221858978,0.5238751769065857,-0.0057252380065619946,0.9996698498725891,0.4286545217037201,0.6256142258644104,-0.04429315775632858,0.9820592999458313,0.4120268225669861,0.7181344628334045,0.1688394546508789,0.9806591868400574,0.40051576495170593,0.7513285279273987,-0.05068260803818703,0.9700222015380859,forward,180.0,1
5,0.16683333333333333,54.186105728149414,,,,,,,,,,,,,,,,,,,,0.4529372751712799,0.5237920880317688,-0.008474643342196941,0.999671459197998,0.4272080957889557,0.6256011128425598,-0.04426296055316925,0.9829490780830383,0.411989688873291,0.718124508857727,0.17108117043972015,0.9815037846565247,0.4004524350166321,0.7512590885162354,-0.04767688736319542,0.9711666107177734,forward,180.0,1
6,0.20020000000000002,50.520896911621094,,,,,,,,,,,,,,,,,,,,0.45235830545425415,0.5237939953804016,-0.012186409905552864,0.9996737241744995,0.42582544684410095,0.6255814433097839,-0.044074881821870804,0.9837067723274231,0.41197487711906433,0.718101441860199,0.1742219477891922,0.9822084307670593,0.4004165828227997,0.7511963248252869,-0.045176561921834946,0.9721149206161499,forward,178.32935776358315,1
7,0.23356666666666667,52.26397514343262,,,,,,,,,,,,,,,,,,,,0.45194652676582336,0.523804783821106,-0.012134500779211521,0.9996740818023682,0.42456549406051636,0.625587522983551,-0.044645313173532486,0.9843470454216003,0.41195425391197205,0.7180857062339783,0.17423413693904877,0.9827929735183716,0.40039199590682983,0.7510587573051453,-0.044429484754800797,0.9729040265083313,forward,177.36037589608586,1
8,0.26693333333333336,53.6351203918457,,,,,,,,,,,,,,,,,,,,0.45169714093208313,0.5238243937492371,-0.011764945462346077,0.9996716380119324,0.4236174523830414,0.625585675239563,-0.03736557811498642,0.984966516494751,0.41194793581962585,0.71783447265625,0.20137962698936462,0.9833235740661621,0.40036308765411377,0.7510138154029846,-0.015421595424413681,0.9736216068267822,forward,173.82985584198696,1
9,0.3003,53.76696586608887,,,,,,,,,,,,,,,,,,,,0.4514726400375366,0.5239971876144409,-0.011498665437102318,0.9996702075004578,0.4229949116706848,0.6255913972854614,-0.03341085463762283,0.9855092167854309,0.4119260311126709,0.7177274823188782,0.20963364839553833,0.9837632179260254,0.4000999629497528,0.7510026097297668,-0.005223584361374378,0.9741904735565186,forward,171.0329698507097,1
10,0.33366666666666667,53.5738468170166,,,,,,,,,,,,,,,,,,,,0.45140591263771057,0.5245516300201416,-0.011392146348953247,0.9996656775474548,0.4230801463127136,0.6259319186210632,-0.029356570914387703,0.9859498143196106,0.41192540526390076,0.717696487903595,0.21182821691036224,0.9840773940086365,0.40004056692123413,0.7509909272193909,-0.0011277039302513003,0.9745790362358093,forward,167.3968063874257,1
11,0.3670333333333333,53.70593070983887,,,,,,,,,,,,,,,,,,,,0.45138585567474365,0.5257471799850464,-0.011318854987621307,0.9996660351753235,0.4231093227863312,0.626886785030365,-0.022116893902420998,0.9864778518676758,0.41191133856773376,0.7176461815834045,0.23766502737998962,0.9845250248908997,0.3999631106853485,0.7509183287620544,0.02243330143392086,0.9751943945884705,forward,162.2198907124422,1
12,0.40040000000000003,54.882049560546875,,,,,,,,,,,,,,,,,,,,0.45147016644477844,0.5267117023468018,-0.011132939718663692,0.9996654987335205,0.42365431785583496,0.6275346875190735,-0.019018229097127914,0.9868946075439453,0.41186144948005676,0.7176087498664856,0.2426919937133789,0.9848456382751465,0.39985087513923645,0.7504931092262268,0.027817759662866592,0.9756134748458862,forward,158.806353045841,1
13,0.4337666666666667,54.83293533325195,,,,,,,,,,,,,,,,,,,,0.45150041580200195,0.5272743701934814,-0.010251684114336967,0.9996618628501892,0.4241281747817993,0.627708375453949,-0.015656420961022377,0.9872531294822693,0.4117910861968994,0.7175304293632507,0.2426440417766571,0.9851445555686951,0.3998536765575409,0.7499875426292419,0.02759680338203907,0.9759921431541443,forward,156.69347915289205,1
14,0.46713333333333334,54.567813873291016,,,,,,,,,,,,,,,,,,,,0.45165008306503296,0.527890682220459,-0.009043965488672256,0.9996528029441833,0.42493829131126404,0.6278204321861267,-0.013062176294624805,0.9874247312545776,0.4117869436740875,0.7174418568611145,0.24201060831546783,0.9852200150489807,0.4000014364719391,0.7494299411773682,0.028130261227488518,0.9760177731513977,forward,154.58621406496127,1
