frame,timeframe,frame_processing_time_ms,left_hip_x,left_hip_y,left_hip_z,left_hip_conf,left_knee_x,left_knee_y,left_knee_z,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_conf,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_conf,left_foot_direction,left_knee_angle,left_knee_incorrect,right_hip_x,right_hip_y,right_hip_z,right_hip_conf,right_knee_x,right_knee_y,right_knee_z,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_conf,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_conf,right_foot_direction,right_knee_angle,right_knee_incorrect
0,0.0,505.9518814086914,586.875,978.75,,0.78509927,615.0,1170.9375,,0.87720054,633.75,1372.5,,0.95952713,685.3125,1428.75,,0.7682498,forward,176.98890079016647,1,493.125,978.75,,0.7792195,460.3125,1175.625,,0.88583136,441.5625,1372.5,,0.9478067,427.5,1442.8125,,0.8156755,forward,175.97805156823628,1
1,0.03336666666666667,358.99972915649414,586.875,978.75,,0.77935565,615.0,1170.9375,,0.8716424,633.75,1372.5,,0.9591482,685.3125,1428.75,,0.77157056,forward,176.98890079016647,1,488.4375,978.75,,0.77628326,460.3125,1175.625,,0.8812411,441.5625,1372.5,,0.9472775,427.5,1442.8125,,0.81606907,forward,177.31022753598617,1
2,0.06673333333333334,270.1759338378906,586.875,978.75,,0.78529537,615.0,1170.9375,,0.8714661,633.75,1372.5,,0.95879024,680.625,1428.75,,0.7733568,forward,176.98890079016647,1,488.4375,978.75,,0.78133696,460.3125,1180.3125,,0.88322264,441.5625,1372.5,,0.9460434,427.5,1442.8125,,0.82016665,forward,177.62867147782273,1
3,0.10010000000000001,260.1640224456787,582.1875,978.75,,0.7804699,610.3125,1170.9375,,0.86796904,633.75,1372.5,,0.9601038,680.625,1428.75,,0.77210426,forward,178.30695831789288,1,488.4375,978.75,,0.7787074,460.3125,1180.3125,,0.88374174,441.5625,1372.5,,0.9468272,427.5,1442.8125,,0.8174743,forward,177.62867147782273,1
4,0.13346666666666668,255.1279067993164,582.1875,978.75,,0.7826517,610.3125,1170.9375,,0.8672887,633.75,1377.1875,,0.95986325,685.3125,1428.75,,0.7728808,forward,178.15739969303633,1,488.4375,978.75,,0.77878845,460.3125,1180.3125,,0.8799459,441.5625,1377.1875,,0.9459929,427.5,1442.8125,,0.8181895,forward,177.4968852578669,1
5,0.16683333333333333,256.7181587219238,582.1875,978.75,,0.7826891,610.3125,1175.625,,0.8712076,633.75,1377.1875,,0.95992446,680.625,1428.75,,0.7726747,forward,178.50262888003977,1,483.75,978.75,,0.7813649,455.625,1180.3125,,0.8794111,441.5625,1377.1875,,0.9464555,427.5,1442.8125,,0.81535244,forward,176.14217136282284,1
6,0.20020000000000002,254.7750473022461,582.1875,983.4375,,0.7841941,610.3125,1180.3125,,0.8703108,633.75,1372.5,,0.9530594,680.625,1428.75,,0.77377903,forward,178.82297157812275,1,483.75,983.4375,,0.7811743,455.625,1180.3125,,0.881152,441.5625,1377.1875,,0.9454408,427.5,1447.5,,0.8173448,forward,175.95557052222773,1
7,0.23356666666666667,253.56698036193848,582.1875,988.125,,0.78600764,610.3125,1180.3125,,0.8757268,629.0625,1372.5,,0.9538313,675.9375,1428.75,,0.78123677,forward,177.24643395183074,1,483.75,988.125,,0.78501225,455.625,1180.3125,,0.8825245,441.5625,1372.5,,0.9443216,427.5,1447.5,,0.81717813,forward,175.85924528195656,1
8,0.26693333333333336,253.3259391784668,582.1875,988.125,,0.78168666,610.3125,1180.3125,,0.87367404,633.75,1372.5,,0.9571792,675.9375,1428.75,,0.7889792,forward,178.62726655366882,1,483.75,988.125,,0.78132796,455.625,1180.3125,,0.87801814,441.5625,1372.5,,0.94667315,427.5,1442.8125,,0.82105386,forward,175.85924528195656,1
9,0.3003,258.90302658081055,582.1875,988.125,,0.779577,610.3125,1180.3125,,0.87432903,633.75,1372.5,,0.95815307,675.9375,1428.75,,0.7816169,forward,178.62726655366882,1,483.75,988.125,,0.77738917,455.625,1180.3125,,0.8840642,441.5625,1372.5,,0.9527474,422.8125,1447.5,,0.8196355,forward,175.85924528195656,1
10,0.33366666666666667,252.43306159973145,582.1875,988.125,,0.775525,610.3125,1180.3125,,0.87041193,633.75,1372.5,,0.9588636,675.9375,1428.75,,0.77679324,forward,178.62726655366882,1,483.75,988.125,,0.7715302,455.625,1180.3125,,0.881032,441.5625,1372.5,,0.9535803,422.8125,1442.8125,,0.81870425,forward,175.85924528195656,1
11,0.3670333333333333,249.7847080230713,582.1875,988.125,,0.7715819,610.3125,1180.3125,,0.86593837,633.75,1372.5,,0.96072227,675.9375,1428.75,,0.7798009,forward,178.62726655366882,1,488.4375,988.125,,0.76661193,460.3125,1180.3125,,0.879024,441.5625,1372.5,,0.9571924,422.8125,1442.8125,,0.8181623,forward,177.24643395183074,1
12,0.40040000000000003,268.9847946166992,582.1875,988.125,,0.766752,610.3125,1175.625,,0.8538512,629.0625,1372.5,,0.96322787,675.9375,1428.75,,0.7804887,forward,176.90952493231165,1,483.75,988.125,,0.759434,460.3125,1180.3125,,0.8673289,441.5625,1372.5,,0.95968664,422.8125,1442.8125,,0.8208878,forward,178.61930657988776,1
13,0.4337666666666667,276.78775787353516,582.1875,992.8125,,0.77033985,615.0,1175.625,,0.855363,633.75,1372.5,,0.9670147,675.9375,1428.75,,0.7837633,forward,175.2647999257102,1,488.4375,992.8125,,0.7655358,460.3125,1180.3125,,0.8702655,441.5625,1372.5,,0.9575471,422.8125,1447.5,,0.8210856,forward,177.0413678880222,1
14,0.46713333333333334,259.45210456848145,582.1875,992.8125,,0.7685057,615.0,1170.9375,,0.85767525,633.75,1372.5,,0.9723512,675.9375,1428.75,,0.78646433,forward,174.87707392841955,1,488.4375,992.8125,,0.7629411,460.3125,1180.3125,,0.8705927,441.5625,1372.5,,0.9602835,422.8125,1442.8125,,0.8222952,forward,177.0413678880222,1
15,0.5005000000000001,255.38086891174316,586.875,992.8125,,0.7678093,615.0,1175.625,,0.86078274,633.75,1372.5,,0.971442,675.9375,1428.75,,0.78868246,forward,176.69423257756074,1,488.4375,997.5,,0.76056945,460.3125,1180.3125,,0.8702414,441.5625,1372.5,,0.9595831,422.8125,1442.8125,,0.82256824,forward,176.8260232684548,1
