frame,timeframe,frame_processing_time_ms,left_hip_x,left_hip_y,left_hip_z,left_hip_conf,left_knee_x,left_knee_y,left_knee_z,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_conf,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_conf,left_foot_direction,left_knee_angle,left_knee_incorrect,right_hip_x,right_hip_y,right_hip_z,right_hip_conf,right_knee_x,right_knee_y,right_knee_z,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_conf,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_conf,right_foot_direction,right_knee_angle,right_knee_incorrect
0,0.0,387.25996017456055,,,,,,,,,,,,,,,,,,,,493.125,983.4375,0,0.9901841,460.3125,1185.0,0,1.0430865,441.5625,1372.5,0,1.0371848,427.5,1433.4375,0,0.89065933,forward,180.0,1
1,0.03336666666666667,189.58020210266113,,,,,,,,,,,,,,,,,,,,488.4375,983.4375,0,0.9916231,460.3125,1185.0,0,1.0436044,441.5625,1372.5,0,1.0384948,427.5,1433.4375,0,0.89451873,forward,180.0,1
2,0.06673333333333334,199.56493377685547,,,,,,,,,,,,,,,,,,,,488.4375,983.4375,0,0.9940921,460.3125,1185.0,0,1.0434663,441.5625,1372.5,0,1.0393695,427.5,1433.4375,0,0.8946513,forward,180.0,1
3,0.10010000000000001,198.53591918945312,,,,,,,,,,,,,,,,,,,,488.4375,983.4375,0,0.99104226,460.3125,1185.0,0,1.0382257,441.5625,1377.1875,0,1.0386612,427.5,1433.4375,0,0.89542794,forward,180.0,1
4,0.13346666666666668,205.06811141967773,,,,,,,,,,,,,,,,,,,,488.4375,983.4375,0,0.992524,460.3125,1185.0,0,1.0374142,441.5625,1372.5,0,1.0375197,427.5,1433.4375,0,0.89087784,forward,167.31962257946088,1
5,0.16683333333333333,210.45589447021484,,,,,,,,,,,,,,,,,,,,488.4375,983.4375,0,0.9965667,455.625,1185.0,0,1.0377095,441.5625,1377.1875,0,1.0397184,427.5,1433.4375,0,0.89611447,forward,180.0,1
6,0.20020000000000002,231.56309127807617,,,,,,,,,,,,,,,,,,,,483.75,983.4375,0,0.9889319,455.625,1185.0,0,1.0296241,441.5625,1377.1875,0,1.0316226,427.5,1433.4375,0,0.89338493,forward,180.0,1
7,0.23356666666666667,197.14593887329102,,,,,,,,,,,,,,,,,,,,488.4375,988.125,0,0.9916936,455.625,1189.6875,0,1.0280812,441.5625,1372.5,0,1.0315928,427.5,1433.4375,0,0.8912269,forward,162.0302437067464,1
8,0.26693333333333336,222.67699241638184,,,,,,,,,,,,,,,,,,,,488.4375,988.125,0,0.9932935,455.625,1185.0,0,1.0293827,441.5625,1372.5,0,1.0310702,427.5,1433.4375,0,0.87946945,forward,154.9388206989654,1
9,0.3003,194.1080093383789,,,,,,,,,,,,,,,,,,,,488.4375,988.125,0,0.9917692,455.625,1185.0,0,1.0247409,441.5625,1372.5,0,1.0307438,427.5,1433.4375,0,0.8890153,forward,154.9388206989654,1
10,0.33366666666666667,191.47992134094238,,,,,,,,,,,,,,,,,,,,488.4375,992.8125,0,0.9946703,455.625,1185.0,0,1.0208985,446.25,1372.5,0,1.032313,427.5,1433.4375,0,0.89152974,forward,149.77611789108212,1
11,0.3670333333333333,191.52498245239258,,,,,,,,,,,,,,,,,,,,488.4375,992.8125,0,0.989982,455.625,1185.0,0,1.0121841,446.25,1372.5,0,1.0315098,427.5,1438.125,0,0.89236796,forward,149.77611789108212,1
12,0.40040000000000003,197.20005989074707,,,,,,,,,,,,,,,,,,,,488.4375,997.5,0,0.98514307,460.3125,1185.0,0,1.0110445,446.25,1372.5,0,1.0257766,427.5,1433.4375,0,0.8727181,forward,145.79072228592298,1
13,0.4337666666666667,194.75412368774414,,,,,,,,,,,,,,,,,,,,488.4375,997.5,0,0.9842173,455.625,1185.0,0,1.0113833,446.25,1372.5,0,1.0232595,427.5,1433.4375,0,0.8785944,forward,145.79072228592298,1
14,0.46713333333333334,196.3503360748291,,,,,,,,,,,,,,,,,,,,488.4375,997.5,0,0.97986376,455.625,1185.0,0,1.0001214,446.25,1372.5,0,1.0200874,427.5,1433.4375,0,0.8794838,forward,145.79072228592298,1
15,0.5005000000000001,195.85919380187988,,,,,,,,,,,,,,,,,,,,488.4375,997.5,0,0.9881639,455.625,1185.0,0,1.0067725,446.25,1372.5,0,1.0224576,427.5,1433.4375,0,0.8673408,forward,145.79072228592298,1
16,0.5338666666666667,194.83590126037598,,,,,,,,,,,,,,,,,,,,488.4375,997.5,0,0.9756912,455.625,1185.0,0,1.001966,446.25,1367.8125,0,1.017766,427.5,1433.4375,0,0.8577305,forward,140.5013434132085,1
17,0.5672333333333334,194.93508338928223,,,,,,,,,,,,,,,,,,,,488.4375,1002.1875,0,0.9809505,455.625,1185.0,0,0.9970511,446.25,1367.8125,0,1.0197968,427.5,1433.4375,0,0.8626083,forward,137.121093044034,1
18,0.6006,195.70517539978027,,,,,,,,,,,,,,,,,,,,488.4375,1002.1875,0,0.9791815,450.9375,1185.0,0,0.9884231,446.25,1367.8125,0,1.0142722,427.5,1433.4375,0,0.84847176,forward,137.121093044034,1
19,0.6339666666666667,195.2190399169922,,,,,,,,,,,,,,,,,,,,488.4375,1006.875,0,0.96993506,450.9375,1189.6875,0,0.9801508,446.25,1367.8125,0,1.0067445,427.5,1433.4375,0,0.8503181,forward,133.03668057561148,1
20,0.6673333333333333,195.72091102600098,,,,,,,,,,,,,,,,,,,,493.125,1011.5625,0,0.99311304,446.25,1189.6875,0,0.9880372,446.25,1367.8125,0,1.0127598,427.5,1433.4375,0,0.83897454,forward,130.0403589563427,1
21,0.7007,194.67997550964355,,,,,,,,,,,,,,,,,,,,493.125,1016.25,0,0.99463284,446.25,1194.375,0,0.9832659,446.25,1367.8125,0,1.0108052,422.8125,1433.4375,0,0.84704614,forward,126.57506574701239,1
22,0.7340666666666666,195.71876525878906,,,,,,,,,,,,,,,,,,,,493.125,1020.9375,0,1.0116017,441.5625,1199.0625,0,0.9912024,446.25,1367.8125,0,1.0131422,422.8125,1438.125,0,0.85268104,forward,123.50240472899114,1
23,0.7674333333333333,196.06304168701172,,,,,,,,,,,,,,,,,,,,497.8125,1025.625,0,1.031363,441.5625,1199.0625,0,1.0041165,446.25,1367.8125,0,1.020009,422.8125,1433.4375,0,0.8427733,forward,120.77672252597102,1
24,0.8008000000000001,195.66059112548828,,,,,,,,,,,,,,,,,,,,493.125,1035.0,0,1.0231228,441.5625,1199.0625,0,1.0025195,446.25,1367.8125,0,1.0185901,422.8125,1433.4375,0,0.83746827,forward,115.89189037546043,1
25,0.8341666666666667,194.35477256774902,,,,,,,,,,,,,,,,,,,,493.125,1039.6875,0,1.0076141,436.875,1203.75,0,1.0023959,446.25,1367.8125,0,1.008153,427.5,1433.4375,0,0.84159565,forward,113.09586577552065,1
26,0.8675333333333334,193.9697265625,,,,,,,,,,,,,,,,,,,,497.8125,1049.0625,0,0.9861555,436.875,1208.4375,0,1.0058575,446.25,1367.8125,0,1.0023761,422.8125,1433.4375,0,0.84949815,forward,108.27440548417958,1
27,0.9009,195.1441764831543,,,,,,,,,,,,,,,,,,,,497.8125,1063.125,0,0.9729354,432.1875,1213.125,0,1.0064901,446.25,1367.8125,0,0.99793404,422.8125,1433.4375,0,0.8547219,forward,101.68771398560281,1
28,0.9342666666666667,195.01686096191406,,,,,,,,,,,,,,,,,,,,497.8125,1072.5,0,0.9822222,432.1875,1213.125,0,1.0086346,446.25,1367.8125,0,1.0075209,422.8125,1428.75,0,0.8515972,forward,97.83919696747557,1
29,0.9676333333333333,194.43416595458984,,,,,,,,,,,,,,,,,,,,493.125,1077.1875,0,0.9475445,432.1875,1217.8125,0,0.98480093,446.25,1367.8125,0,0.9889569,422.8125,1433.4375,0,0.8479321,forward,95.54597420816299,1
30,1.0010000000000001,195.07789611816406,,,,,,,,,,,,,,,,,,,,493.125,1081.875,0,0.9178562,432.1875,1217.8125,0,0.9635439,446.25,1367.8125,0,0.9686521,418.125,1438.125,0,0.8272216,forward,93.71427701961747,1
31,1.0343666666666667,195.2381134033203,,,,,,,,,,,,,,,,,,,,493.125,1086.5625,0,0.92829096,427.5,1222.5,0,0.9697404,446.25,1372.5,0,0.97339433,418.125,1433.4375,0,0.83362293,forward,93.71427701961747,1
32,1.0677333333333334,195.0521469116211,,,,,,,,,,,,,,,,,,,,493.125,1095.9375,0,0.9368231,427.5,1222.5,0,0.9694067,446.25,1372.5,0,0.97552145,418.125,1433.4375,0,0.8440048,forward,90.20112884979719,1
33,1.1011,194.5667266845703,,,,,,,,,,,,,,,,,,,,493.125,1100.625,0,0.9418951,427.5,1227.1875,0,0.9718685,446.25,1372.5,0,0.98772234,422.8125,1433.4375,0,0.8513285,forward,88.01723578077005,1
34,1.1344666666666667,194.40197944641113,,,,,,,,,,,,,,,,,,,,493.125,1110.0,0,0.935442,427.5,1227.1875,0,0.9694568,446.25,1372.5,0,0.9822582,418.125,1428.75,0,0.85846055,forward,84.67010688305365,1
35,1.1678333333333333,194.44990158081055,,,,,,,,,,,,,,,,,,,,493.125,1110.0,0,0.93210685,427.5,1227.1875,0,0.97060937,446.25,1372.5,0,0.98779094,422.8125,1428.75,0,0.864519,forward,84.67010688305365,1
36,1.2012,194.4739818572998,,,,,,,,,,,,,,,,,,,,493.125,1114.6875,0,0.9232323,432.1875,1227.1875,0,0.96703863,446.25,1372.5,0,0.9832125,422.8125,1428.75,0,0.8629037,forward,83.04859784341522,1
37,1.2345666666666666,199.4631290435791,,,,,,,,,,,,,,,,,,,,493.125,1114.6875,0,0.9267216,432.1875,1231.875,0,0.9712843,446.25,1372.5,0,0.9808338,422.8125,1428.75,0,0.8657094,forward,82.57846007333954,1
