frame,timeframe,frame_processing_time_ms,frame_width,frame_height,left_hip_x,left_hip_y,left_hip_z,left_hip_conf,left_knee_x,left_knee_y,left_knee_z,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_conf,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_conf,left_foot_direction,left_knee_angle,left_knee_incorrect,right_hip_x,right_hip_y,right_hip_z,right_hip_conf,right_knee_x,right_knee_y,right_knee_z,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_conf,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_conf,right_foot_direction,right_knee_angle,right_knee_incorrect
0,0.0,198.0443000793457,1080,1920,0.5458623766899109,0.5205999612808228,,0.9997308850288391,0.5663804411888123,0.6228704452514648,,0.9787043333053589,0.5868737101554871,0.7193940877914429,,0.9785148501396179,0.6090288162231445,0.7490990161895752,,0.9648341536521912,forward,180.0,0,0.45517075061798096,0.5246443748474121,,0.9996762275695801,0.42964738607406616,0.625873327255249,,0.978010356426239,0.41201072931289673,0.7181628346443176,,0.976982593536377,0.40262359380722046,0.7515448927879333,,0.9651973247528076,forward,180.0,1
1,0.03336666666666667,63.11798095703125,1080,1920,0.5453006625175476,0.5206383466720581,,0.9997279644012451,0.5659533739089966,0.6227535009384155,,0.979645311832428,0.5869845747947693,0.7193704843521118,,0.9794336557388306,0.6066816449165344,0.7487699389457703,,0.9662554860115051,forward,176.84176301310146,0,0.45501819252967834,0.5243512392044067,,0.999673068523407,0.42965298891067505,0.6257141828536987,,0.9790992736816406,0.41208577156066895,0.718154788017273,,0.9779486060142517,0.4020099639892578,0.751430869102478,,0.9664583206176758,forward,180.0,1
2,0.06673333333333334,130.01298904418945,1080,1920,0.5445937514305115,0.5207282304763794,,0.9997260570526123,0.5655208230018616,0.622749924659729,,0.9805979132652283,0.5870999097824097,0.7193815112113953,,0.980339527130127,0.6062725186347961,0.7486780285835266,,0.9676375985145569,forward,176.0026992097955,0,0.45462313294410706,0.5243164300918579,,0.9996705651283264,0.4296380579471588,0.6256453394889832,,0.9801505208015442,0.4120962619781494,0.7181351184844971,,0.978893518447876,0.4010380506515503,0.7513229250907898,,0.9676839113235474,forward,178.51519889597398,1
3,0.10010000000000001,72.66712188720703,1080,1920,0.544021487236023,0.5207397937774658,,0.9997252821922302,0.565079391002655,0.6227129101753235,,0.9814301133155823,0.5871015787124634,0.719226062297821,,0.9811416268348694,0.6060580015182495,0.7485668063163757,,0.9688938856124878,forward,172.79265296311925,0,0.4541884958744049,0.5241519212722778,,0.9996699690818787,0.4295332431793213,0.6256242990493774,,0.9811105132102966,0.41205736994743347,0.7181333303451538,,0.9797746539115906,0.4005343019962311,0.7513247728347778,,0.968841552734375,forward,180.0,1
4,0.13346666666666668,56.120872497558594,1080,1920,0.543563723564148,0.5207420587539673,,0.9997254610061646,0.5648884177207947,0.6227176189422607,,0.9822577238082886,0.5870642066001892,0.7191715836524963,,0.981947124004364,0.6060419082641602,0.748540997505188,,0.9701635837554932,forward,172.17316630581843,0,0.4536689221858978,0.5238751769065857,,0.9996698498725891,0.4286545217037201,0.6256142258644104,,0.9820592999458313,0.4120268225669861,0.7181344628334045,,0.9806591868400574,0.40051576495170593,0.7513285279273987,,0.9700222015380859,forward,180.0,1
5,0.16683333333333333,63.185930252075195,1080,1920,0.542846143245697,0.5208313465118408,,0.9997264742851257,0.5646753311157227,0.622686505317688,,0.9829892516136169,0.5870253443717957,0.7187227010726929,,0.9826471209526062,0.6060625910758972,0.7482689619064331,,0.9712873697280884,forward,168.4710105701145,0,0.4529372751712799,0.5237920880317688,,0.999671459197998,0.4272080957889557,0.6256011128425598,,0.9829490780830383,0.411989688873291,0.718124508857727,,0.9815037846565247,0.4004524350166321,0.7512590885162354,,0.9711666107177734,forward,180.0,1
6,0.20020000000000002,51.383018493652344,1080,1920,0.5422640442848206,0.5211913585662842,,0.9997279047966003,0.564332902431488,0.6227087378501892,,0.9836264252662659,0.5870175361633301,0.7185743451118469,,0.983211100101471,0.6058530807495117,0.7481891512870789,,0.9722002744674683,forward,165.82349152534235,0,0.45235830545425415,0.5237939953804016,,0.9996737241744995,0.42582544684410095,0.6255814433097839,,0.9837067723274231,0.41197487711906433,0.718101441860199,,0.9822084307670593,0.4004165828227997,0.7511963248252869,,0.9721149206161499,forward,178.32935776358315,1
7,0.23356666666666667,57.3577880859375,1080,1920,0.5419524908065796,0.5213412046432495,,0.9997279047966003,0.5639086961746216,0.6229776740074158,,0.9842157959938049,0.5869582295417786,0.7186611890792847,,0.9837518334388733,0.6052353978157043,0.7483054995536804,,0.9730596542358398,forward,165.5842587694353,0,0.45194652676582336,0.523804783821106,,0.9996740818023682,0.42456549406051636,0.625587522983551,,0.9843470454216003,0.41195425391197205,0.7180857062339783,,0.9827929735183716,0.40039199590682983,0.7510587573051453,,0.9729040265083313,forward,177.36037589608586,1
8,0.26693333333333336,51.96499824523926,1080,1920,0.5417069792747498,0.5217303037643433,,0.9997255802154541,0.5632155537605286,0.624055027961731,,0.9848220944404602,0.5867587924003601,0.7187202572822571,,0.9842963218688965,0.6038364768028259,0.7483609318733215,,0.973918080329895,forward,168.42160122254126,0,0.45169714093208313,0.5238243937492371,,0.9996716380119324,0.4236174523830414,0.625585675239563,,0.984966516494751,0.41194793581962585,0.71783447265625,,0.9833235740661621,0.40036308765411377,0.7510138154029846,,0.9736216068267822,forward,173.82985584198696,1
9,0.3003,52.90079116821289,1080,1920,0.5414623022079468,0.5221784710884094,,0.9997241497039795,0.5627843141555786,0.6252763867378235,,0.9853923916816711,0.5867019295692444,0.7187643051147461,,0.9847733378410339,0.6029778122901917,0.7483547925949097,,0.9746493101119995,forward,165.34516607378666,0,0.4514726400375366,0.5239971876144409,,0.9996702075004578,0.4229949116706848,0.6255913972854614,,0.9855092167854309,0.4119260311126709,0.7177274823188782,,0.9837632179260254,0.4000999629497528,0.7510026097297668,,0.9741904735565186,forward,171.0329698507097,1
