model,side,mean,std,min,max,range
MEDIAPIPE 2D,right,133.32,28.29,79.68,179.9,100.22
MEDIAPIPE 3D,right,152.68,12.9,123.48,170.03,46.55
MMPOSE 2D,right,152.23,13.65,119.86,176.42,56.56
MMPOSE 3D,right,150.51,15.34,118.45,176.05,57.6
