Detailed Keypoint and Movement Statistics
=====================================

Note: Movement values are in pixels for 2D models and normalized coordinates for 3D models

Model        |  Knee | Min Conf |  Miss % | Out # |  Out % | Max Dev | Avg Mov
------------ | ----- | -------- | ------- | ----- | ------ | ------- | -------
MEDIAPIPE 2D |  left |      nan |  100.0% |     0 |   0.0% |     0.0 |     nan
MEDIAPIPE 2D | right |    0.908 |    0.0% |     0 |   0.0% |     0.0 |     nan
MEDIAPIPE 3D |  left |      nan |  100.0% |     0 |   0.0% |     0.0 |     nan
MEDIAPIPE 3D | right |    0.876 |    0.0% |    39 |   2.6% |     2.3 |    0.00
MMPOSE 2D    |  left |      nan |  100.0% |     0 |   0.0% |     0.0 |     nan
MMPOSE 2D    | right |    0.480 |    0.0% |    18 |   1.2% |     2.4 |     nan
MMPOSE 3D    |  left |      nan |  100.0% |     0 |   0.0% |     0.0 |     nan
MMPOSE 3D    | right |    0.321 |   13.2% |     1 |   0.1% |     2.1 |     nan
